,id,team1,team1_pts,team1_home_away,team1_rushingTDs,team1_passingTDs,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_kickingPoints,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team1_fumblesRecovered,team1_totalFumbles,team1_possessionTime,team1_interceptions,team1_fumblesLost,team1_turnovers,team1_totalPenaltiesYards,team1_yardsPerRushAttempt,team1_rushingAttempts,team1_rushingYards,team1_yardsPerPass,team1_completionAttempts,team1_netPassingYards,team1_totalYards,team1_fourthDownEff,team1_thirdDownEff,team1_firstDowns,team2,team2_pts,team2_home_away,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_fumblesRecovered,team2_totalFumbles,team2_possessionTime,team2_interceptions,team2_fumblesLost,team2_turnovers,team2_totalPenaltiesYards,team2_yardsPerRushAttempt,team2_rushingAttempts,team2_rushingYards,team2_yardsPerPass,team2_completionAttempts,team2_netPassingYards,team2_totalYards,team2_fourthDownEff,team2_thirdDownEff,team2_firstDowns,team1_tacklesForLoss,team1_defensiveTDs,team1_tackles,team1_sacks,team1_qbHurries,team1_passesDeflected,team2_tacklesForLoss,team2_defensiveTDs,team2_tackles,team2_sacks,team2_qbHurries,team2_passesDeflected,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns
0,401540244,Lamar,17,home,1,1,82,0,4,5,0,0,1,1,1,29:44,1,0,1,5-35,2.3,31,71,5.0,15-24,119,190,0-0,6-13,16,Idaho,42,away,2,26,0,3,4,0,0,1,4,13,0,1,0,3,30:16,1,1,2,8-101,7.6,36,273,10.7,16-21,224,497,0-0,6-9,20,,,,,,,,,,,,,,,
1,401525434,Navy,3,away,0,0,12,0,1,3,,,,0,3,33:14,0,0,0,3-26,2.6,48,126,6.1,3-7,43,169,3-4,4-14,12,Notre Dame,42,home,2,11,0,1,4,41,0,2,6,,,,0,2,26:46,0,0,0,1-10,6.0,32,191,10.1,20-25,253,444,1-1,5-7,27,2,0,42,0,1,2,5,0,41,2,2,0,,,
2,401525435,Tennessee State,3,away,0,0,76,0,2,3,,,,1,1,26:16,2,0,2,5-45,2.6,35,91,3.0,8-22,67,158,1-1,4-14,12,Notre Dame,56,home,3,27,0,3,4,8,0,1,8,33,1,2,0,1,33:44,0,1,1,4-36,6.7,33,221,11.2,24-30,336,557,0-0,9-11,26,6,0,45,0,1,1,5,1,32,1,10,4,,,
3,401520154,UT Martin,7,away,0,1,7,0,1,1,,,,0,1,29:35,1,0,1,10-72,4.6,29,134,3.9,18-33,128,262,1-1,2-14,15,Georgia,48,home,3,19,0,2,2,31,0,1,12,26,1,1,0,1,30:25,0,0,0,5-42,5.3,30,159,10.3,26-39,400,559,0-0,5-12,28,4,0,45,0,0,3,4,1,28,1,0,2,,,
4,401520176,Utah,24,home,2,1,16,0,1,6,2,0,1,0,1,28:08,0,0,0,5-37,3.5,30,105,7.2,15-23,165,270,0-0,3-13,14,Florida,11,away,0,5,0,2,1,47,0,2,3,,,,0,1,31:52,1,0,1,9-46,0.6,21,13,7.6,31-44,333,346,2-5,1-13,17,7,0,37,5,0,4,4,0,29,0,2,2,5,0,3
5,401520179,Virginia,13,away,1,0,21,0,1,7,,,,1,0,32:54,0,0,0,2-10,2.4,40,95,4.4,11-24,106,201,0-1,5-18,12,Tennessee,49,home,5,105,0,3,2,34,0,1,7,,,,0,1,27:06,0,1,1,4-35,5.5,52,287,6.4,23-33,212,499,2-3,5-13,29,1,0,54,1,0,5,11,0,32,4,2,5,,,
6,401520167,North Carolina,31,home,2,2,16,0,1,7,,,,0,,32:37,2,0,2,7-49,4.3,39,168,8.4,24-32,269,437,1-2,8-13,21,South Carolina,17,away,2,,,,0,43,0,2,5,22,0,2,0,,27:23,0,0,0,6-35,-0.1,31,-2,9.1,30-39,353,351,0-4,4-14,20,16,0,46,9,0,1,1,0,32,0,2,1,,,
7,401520159,Ball State,14,away,1,1,,,,2,0,0,1,0,3,38:16,0,2,2,4-26,1.8,41,72,7.4,22-30,223,295,1-2,9-17,18,Kentucky,44,home,2,27,0,2,1,117,1,2,14,,,,2,0,21:44,1,0,1,7-51,5.7,20,113,7.8,18-31,241,354,0-1,4-9,17,3,0,27,1,2,2,8,1,44,3,1,1,3,0,1
8,401520178,Alabama A&M,13,away,0,1,50,0,3,7,8,0,1,0,,32:22,1,0,1,9-50,4.1,33,135,4.2,18-34,143,278,1-1,6-18,14,Vanderbilt,47,home,3,96,0,6,3,69,0,3,9,5,0,1,0,,27:38,1,0,1,3-20,6.3,34,215,7.9,17-31,246,461,0-1,9-14,24,4,0,37,1,1,6,7,0,30,2,3,2,,,
9,401520147,Hawai'i,28,away,1,3,90,0,4,4,,,,0,1,31:22,2,0,2,7-59,1.6,25,40,10.0,27-35,351,391,3-4,3-11,19,Vanderbilt,35,home,1,27,0,1,3,97,1,1,3,9,0,2,0,,28:38,0,0,0,8-72,1.5,26,39,8.6,19-30,258,297,1-3,5-12,17,9,0,35,3,2,6,8,1,37,3,4,4,,,
10,401520149,Middle Tennessee,7,away,0,1,21,0,2,1,,,,0,3,30:57,1,1,2,9-84,3.0,26,78,3.8,24-35,133,211,0-0,6-16,13,Alabama,56,home,5,67,0,6,3,23,0,1,8,13,0,1,1,1,29:03,0,0,0,2-19,5.1,40,205,9.4,17-24,226,431,0-0,10-13,23,4,0,42,2,1,2,7,0,36,3,6,1,,,
11,401520168,Mercer,7,away,1,0,60,0,3,1,,,,1,3,35:10,1,2,3,7-50,2.5,37,93,4.6,17-31,142,235,1-2,3-14,15,Ole Miss,73,home,3,69,1,3,6,21,0,2,13,19,0,1,2,1,24:50,0,1,1,7-65,4.3,33,143,12.8,29-41,524,667,1-1,8-11,32,6,0,38,0,2,1,11,1,37,4,6,4,40,0,1
12,401520164,Southeastern Louisiana,7,away,0,1,142,0,7,1,,,,0,4,28:58,0,1,1,5-25,3.2,26,83,4.5,16-28,125,208,1-2,5-15,10,Mississippi State,48,home,3,37,1,3,2,,,,12,,,,1,1,31:02,0,0,0,1-15,7.6,39,298,7.8,20-29,227,525,1-2,5-11,23,2,0,22,1,4,1,3,1,20,3,5,2,,,
13,401520150,Western Carolina,13,away,1,0,37,0,2,7,,,,0,1,30:43,4,1,5,3-30,2.1,30,64,5.7,25-40,227,291,1-2,4-15,18,Arkansas,56,home,3,51,0,2,4,46,0,2,8,101,1,4,1,2,29:17,0,0,0,7-86,2.9,36,105,11.0,20-25,274,379,2-2,6-13,21,4,0,31,1,1,1,10,1,37,2,1,2,1,0,2
14,401520151,UMass,14,away,1,1,55,0,3,2,,,,0,1,29:25,1,1,2,9-73,5.2,27,140,6.7,14-24,161,301,0-2,1-9,11,Auburn,59,home,6,67,0,2,1,86,0,3,11,50,1,1,1,0,30:35,0,0,0,4-40,6.6,44,289,8.1,14-25,203,492,0-1,6-10,27,4,0,42,1,2,4,7,1,32,4,6,0,17,0,1
15,401520182,Florida State,45,home,2,4,0,0,1,9,0,0,1,1,0,35:23,1,0,1,7-64,4.0,34,135,11.2,24-32,359,494,1-1,9-14,22,LSU,24,away,2,-3,0,1,1,51,0,4,6,2,0,1,0,1,24:37,1,1,2,2-30,4.2,27,113,9.4,22-37,346,459,0-3,3-10,23,5,0,33,4,1,4,4,0,27,0,4,2,,,
16,401525463,Miami,38,home,3,1,40,0,1,12,,,,0,,32:53,1,0,1,8-60,6.9,36,250,9.7,20-25,243,493,0-0,3-7,26,Miami (OH),3,away,0,-2,0,1,0,27,0,1,3,0,0,1,0,,27:07,0,0,0,5-49,2.0,25,51,6.8,13-24,164,215,0-3,2-12,9,6,0,22,3,0,4,1,0,40,1,0,0,4,0,3
17,401532395,Long Island University,10,away,0,1,12,0,1,4,6,0,1,1,0,26:51,2,0,2,5-40,1.5,22,34,5.2,21-33,172,206,2-4,3-13,13,Ohio,27,home,0,0,0,1,3,,,,9,29,0,2,0,1,33:09,1,1,2,3-30,4.4,45,199,6.9,12-15,104,303,0-1,6-12,18,9,0,24,1,4,1,8,0,17,4,8,3,,,
18,401532392,San Diego State,20,home,0,2,44,0,2,8,47,0,3,0,1,27:24,0,1,1,6-57,5.0,31,154,5.9,18-28,164,318,1-2,3-12,16,Ohio,13,away,0,13,0,3,1,61,0,3,7,,,,1,0,32:36,3,0,3,6-55,3.6,31,111,5.5,26-51,279,390,2-2,7-17,25,3,0,46,2,10,8,5,0,26,0,4,2,,,
19,401525816,UCF,56,home,5,3,,,,8,0,0,1,0,1,31:26,2,1,3,7-70,8.5,46,389,9.5,25-35,334,723,1-1,9-13,32,Kent State,6,away,0,,,,0,80,0,3,6,0,0,2,1,0,28:34,1,0,1,4-30,2.6,36,94,4.5,12-32,145,239,0-1,7-17,15,,,,,,,,,,,,,,,
20,401531387,Temple,24,home,1,2,51,0,3,4,2,0,1,0,,29:35,0,0,0,3-15,2.2,28,61,6.0,28-49,292,353,1-2,8-17,20,Akron,21,away,1,30,0,3,2,49,0,3,3,,,,0,2,30:25,1,0,1,10-82,2.6,28,74,7.1,17-29,205,279,1-1,3-12,13,4,0,37,2,0,1,2.5,0,33,0,0,5,-1,0,2
21,401520155,Illinois,30,home,1,2,77,0,5,6,48,1,1,0,,27:03,1,0,1,10-100,4.8,35,168,7.9,18-26,206,374,2-3,2-8,21,Toledo,28,away,1,4,0,1,2,61,0,4,10,0,0,1,0,2,32:57,1,0,1,7-40,4.4,42,186,6.2,20-37,230,416,2-2,7-15,27,5,1,50,1,1,3,4,0,44,2,2,3,,,
22,401532393,St Francis (PA),17,away,1,1,69,0,4,5,0,0,1,0,,21:55,0,0,0,6-51,2.3,22,51,9.6,14-24,230,281,0-0,5-12,12,Western Michigan,35,home,4,,,,1,58,0,3,5,,,,0,1,38:05,1,0,1,3-30,5.1,67,339,6.5,18-26,170,509,3-3,10-17,29,3,0,76,1,1,1,6,0,31,3,0,4,14,0,1
23,401532394,Howard,23,away,1,2,29,0,2,5,0,0,1,0,2,29:47,0,0,0,11-59,4.9,42,204,5.9,16-33,194,398,1-5,7-16,21,Eastern Michigan,33,home,1,42,0,2,1,224,2,5,7,,,,0,,29:47,1,0,1,6-79,3.7,30,110,6.3,19-28,175,285,2-2,5-12,16,3,0,33,0,2,4,7,2,37,4,8,4,,,
24,401520163,Michigan State,31,home,2,2,42,0,2,7,2,0,1,0,,25:34,0,0,0,8-66,4.1,31,127,8.5,18-33,279,406,0-2,5-13,20,Central Michigan,7,away,0,,,,1,43,0,2,1,,,,0,,34:26,1,0,1,7-75,3.0,41,123,3.8,13-25,96,219,0-1,3-16,19,10,0,30,3,3,5,7,0,32,2,1,3,55,0,6
25,401525464,Boston College,24,home,1,2,51,0,4,6,,,,1,0,23:07,1,0,1,10-93,5.2,28,146,4.4,17-38,168,314,2-2,6-17,19,Northern Illinois,27,away,3,,,,1,15,0,1,3,0,0,1,0,1,36:53,0,1,1,4-35,3.5,48,166,5.9,14-29,172,338,0-0,10-17,21,6,0,42,1,4,5,2,0,34,1,4,1,,,
26,401520180,Wisconsin,38,home,4,1,,,,8,,,,0,,30:26,2,0,2,3-30,7.9,40,314,6.1,24-31,189,503,0-0,4-12,23,Buffalo,17,away,0,,,,2,43,0,2,5,66,0,2,0,,29:34,0,0,0,6-70,4.1,30,122,4.7,26-41,194,316,1-4,2-15,14,3,0,46,0,5,2,5,0,40,1,0,0,17,0,2
27,401525468,Duke,28,home,3,0,22,0,1,8,0,0,1,2,0,26:27,0,2,2,7-45,6.6,30,199,5.1,17-34,175,374,1-1,5-15,17,Clemson,7,away,0,3,0,2,1,22,0,1,1,,,,2,0,33:33,1,2,3,1-5,5.3,40,213,4.9,27-43,209,422,0-2,7-15,29,2,0,3,2,0,9,0,0,2,0,0,3,27,0,2
28,401520174,Connecticut,14,home,2,0,29,0,1,2,,,,0,,26:00,1,0,1,6-61,6.2,26,160,4.2,14-27,113,273,2-2,4-12,15,NC State,24,away,3,,,,0,87,0,3,6,4,0,1,0,,34:00,0,0,0,1-5,4.5,46,209,6.0,17-26,155,364,0-1,8-15,23,7,0,46,1,1,3,4,0,30,2,0,6,,,
29,401525461,Elon,17,away,1,0,67,0,3,5,50,1,1,0,,31:50,2,0,2,4-35,3.6,29,104,4.1,21-36,147,251,3-3,2-16,13,Wake Forest,37,home,1,39,0,4,3,96,0,4,13,0,0,2,0,,28:09,1,0,1,4-50,2.8,35,98,11.0,19-30,329,427,0-0,6-13,22,8,1,36,4,2,4,10,0,25,4,6,3,7,0,1
30,401525467,Old Dominion,17,away,0,2,32,0,2,5,,,,0,3,26:20,1,2,3,4-36,4.7,43,201,3.8,13-25,94,295,0-2,8-15,19,Virginia Tech,36,home,1,86,0,3,3,55,0,3,10,32,0,1,2,0,33:40,0,0,0,4-39,2.5,43,109,8.6,18-30,259,368,1-3,8-16,18,3,0,35,0,0,1,10,0,35,5,2,1,,,
31,401525462,Louisville,39,away,1,3,23,0,1,15,-1,0,1,1,1,29:54,1,0,1,7-59,6.7,34,227,8.0,18-31,247,474,1-1,1-11,21,Georgia Tech,34,home,2,24,0,3,3,35,0,2,4,0,0,1,0,1,30:06,1,1,2,2-20,4.6,38,175,9.8,19-32,313,488,0-1,6-13,23,2,0,52,1,3,2,0,0,39,0,2,4,6,0,2
32,401520175,Louisiana Monroe,17,home,1,1,30,0,2,5,13,0,2,3,1,24:17,2,0,2,5-35,6.5,32,207,2.9,15-31,91,298,1-1,4-15,15,Army,13,away,0,,,,0,,,,7,59,1,2,0,4,35:43,2,3,5,3-35,3.4,50,172,8.9,6-12,107,279,0-0,6-15,14,5,0,42,1,1,1,5,1,29,1,0,3,,,
33,401520160,Liberty,34,home,1,2,69,0,3,10,75,1,5,0,2,32:55,0,1,1,4-51,5.0,49,246,7.2,11-20,143,389,0-1,5-12,22,Bowling Green,24,away,1,,,,1,55,0,5,6,,,,1,0,27:05,5,0,5,9-86,6.2,31,191,4.4,11-31,137,328,3-4,2-12,19,7,1,19,2,5,2,5,0,37,2,1,2,24,0,2
34,401525823,Central Arkansas,13,away,0,2,31,0,2,1,0,0,1,0,1,27:30,0,1,1,9-63,4.4,28,123,7.2,24-37,268,391,0-0,5-13,19,Oklahoma State,27,home,2,0,0,1,1,25,0,2,9,,,,1,0,32:30,1,0,1,5-41,4.8,31,149,6.3,30-48,304,453,1-2,6-15,24,4,0,35,1,4,3,9,0,42,5,1,5,5,0,2
35,401525821,Southeast Missouri State,0,away,0,0,37,0,2,,20,0,1,0,,30:35,0,0,0,5-65,0.2,26,6,6.0,25-37,221,227,0-2,4-14,13,Kansas State,45,home,3,,,,3,33,0,1,9,,,,0,1,29:25,1,0,1,4-36,5.7,40,228,11.6,22-31,360,588,1-2,4-10,28,3,0,45,0,1,1,11,0,46,4,2,2,,,
36,401525817,Texas State,42,away,3,3,51,0,2,6,0,0,1,1,4,26:12,0,2,2,4-31,3.7,39,143,9.9,22-30,298,441,4-4,5-13,20,Baylor,31,home,1,6,0,1,2,145,0,6,11,,,,2,2,33:48,1,1,2,9-45,3.4,32,108,9.5,27-44,416,524,3-4,8-18,22,10,0,49,3,1,4,6,0,36,1,1,2,7,0,1
37,401525822,Arkansas State,0,away,0,0,42,0,2,0,,,,0,1,23:04,0,1,1,14-111,2.1,23,48,5.9,13-27,160,208,0-1,2-12,10,Oklahoma,73,home,6,90,1,4,3,,,,13,,,,1,1,36:56,0,0,0,6-65,4.5,49,220,12.8,30-33,422,642,0-0,11-14,36,6,0,54,0,0,1,6,1,25,1,2,2,,,
38,401525824,Rice,10,away,0,1,26,0,2,4,,,,0,1,28:24,2,1,3,5-25,1.1,25,27,5.7,14-26,149,176,1-2,4-13,8,Texas,37,home,1,21,0,1,3,13,0,1,13,0,0,2,1,0,31:36,0,0,0,5-40,4.1,39,158,8.3,22-36,300,458,1-3,6-15,24,,,,,,,,,,,,,,,
39,401525820,Northern Iowa,9,away,0,1,24,0,1,3,,,,0,,34:24,2,0,2,6-52,2.9,37,106,4.9,17-35,173,279,2-3,3-15,19,Iowa State,30,home,1,60,0,2,2,26,0,2,6,88,1,2,0,,25:36,0,0,0,9-81,5.0,27,134,6.4,14-18,116,250,1-1,2-11,10,3,0,27,0,1,1,9,1,34,5,5,7,11,0,2
40,401525825,Wyoming,35,home,2,2,,,,9,4,0,1,0,3,34:02,0,2,2,3-15,3.9,44,171,4.4,18-34,149,320,2-2,6-15,24,Texas Tech,33,away,1,8,0,1,3,45,0,2,9,,,,2,1,25:58,1,0,1,7-69,2.8,33,93,7.2,31-47,338,431,2-2,7-17,26,4,0,47,3,2,9,6,0,47,2,1,4,,,
41,401525815,Missouri State,17,away,1,1,18,0,1,5,,,,1,1,26:13,2,0,2,6-50,2.7,27,74,6.8,14-21,143,217,1-1,1-9,10,Kansas,48,home,4,,,,2,61,0,2,12,12,0,2,0,1,33:47,0,1,1,3-35,6.4,38,245,9.9,22-28,276,521,1-2,6-11,27,3,0,51,0,0,3,9,0,26,1,2,2,,,
42,401523994,Colorado,45,away,2,4,18,0,1,9,0,0,2,0,1,34:33,0,1,1,6-35,1.6,34,55,10.9,38-47,510,565,2-2,9-15,30,TCU,42,home,4,,,,2,150,0,5,6,,,,1,1,25:27,2,0,2,10-78,7.1,37,262,6.6,24-42,279,541,1-2,10-17,27,0,0,46,0,2,3,7,0,44,4,2,2,2,0,1
43,401520169,Penn State,38,home,2,3,19,0,1,8,,,,0,,28:44,0,0,0,1-5,4.2,35,146,11.1,22-30,332,478,1-1,3-9,27,West Virginia,15,away,2,4,0,1,0,20,0,1,1,,,,0,,31:16,0,0,0,5-55,3.7,40,146,6.0,16-27,162,308,3-6,4-14,17,6,0,45,3,3,2,4,0,41,1,3,2,,,
44,401520165,South Dakota,10,away,0,1,14,0,1,4,23,0,1,0,1,30:58,0,0,0,6-57,1.3,35,46,5.9,15-25,148,194,2-3,2-13,14,Missouri,35,home,3,18,0,2,2,56,0,3,5,,,,0,,29:02,1,0,1,7-56,5.3,40,211,8.7,20-26,226,437,0-0,6-10,22,6,0,47,1,0,2,5,0,43,2,1,1,,,
45,401520173,New Mexico,10,away,1,0,92,0,7,4,,,,0,1,34:20,1,0,1,10-114,2.8,32,91,4.7,16-28,131,222,1-2,3-13,18,Texas A&M,52,home,1,53,0,4,6,27,0,1,10,0,0,1,0,1,25:40,0,0,0,9-88,4.6,29,134,8.1,24-34,277,411,1-1,3-7,27,5,0,41,2,2,3,10,0,38,2,5,5,-1,0,1
46,401525466,Colgate,0,away,0,0,,,,,16,0,1,2,3,29:20,2,1,3,6-40,1.4,38,54,2.6,11-20,52,106,0-2,3-17,7,Syracuse,65,home,1,72,0,7,7,0,0,1,11,66,1,2,1,4,30:40,1,2,3,7-60,5.2,52,271,11.0,28-37,406,677,1-2,9-16,34,6.5,0,33,3,1,2,9,1,11,3,3,1,,,
47,401525465,Wofford,7,away,0,1,,,,1,,,,0,1,18:27,0,1,1,2-20,-0.1,19,-1,7.5,12-17,127,126,0-0,1-9,7,Pittsburgh,45,home,4,20,0,4,2,17,0,1,9,,,,1,0,41:33,0,0,0,7-62,4.8,45,217,8.6,22-32,274,491,3-3,8-14,30,3,0,32,1,3,1,6,0,16,4,2,2,,,
48,401520157,Iowa,24,home,1,2,54,0,1,6,0,0,1,0,2,32:12,0,0,0,7-50,2.4,36,88,5.9,18-33,196,284,1-2,6-17,17,Utah State,14,away,0,22,0,2,1,,,,6,,,,0,,27:48,1,0,1,10-91,4.8,24,116,4.4,32-48,213,329,1-3,5-17,19,4,0,41,1,4,4,9,0,44,1,1,5,3,0,3
49,401523997,Washington,56,home,2,6,98,0,5,8,33,0,2,0,2,29:48,0,0,0,5-60,4.1,19,78,11.7,31-42,490,568,1-1,4-10,22,Boise State,19,away,1,,,,1,65,0,4,7,,,,0,,30:12,2,0,2,3-29,4.9,28,138,5.6,22-47,264,402,1-2,6-17,21,3,0,39,1,0,6,6,0,38,1,0,2,10,0,3
50,401523990,Washington State,50,away,3,3,5,0,1,8,37,1,2,0,3,37:40,0,2,2,3-20,2.4,37,90,9.3,38-50,466,556,0-2,11-17,30,Colorado State,24,home,0,-3,0,1,2,98,1,1,6,,,,2,0,22:20,2,0,2,4-40,1.9,20,37,7.3,28-44,320,357,1-3,5-14,18,3,1,18,1,2,9,10,1,36,3,2,2,31,0,3
51,401532570,Robert Morris,7,away,0,1,91,0,3,1,,,,1,2,27:49,0,1,1,9-61,2.1,25,52,4.7,18-24,113,165,0-1,3-11,9,Air Force,42,home,5,-1,0,2,1,,,,6,,,,2,3,32:11,0,1,1,2-10,7.5,48,362,31.7,2-3,95,457,1-3,6-10,24,3,0,30,0,0,0,7,0,31,2,2,0,,,
52,401520170,Purdue,35,home,2,2,144,1,3,5,0,0,1,0,1,23:27,0,0,0,4-35,3.6,30,109,8.5,17-30,254,363,2-4,3-12,19,Fresno State,39,away,1,0,0,1,4,50,0,2,7,,,,0,,36:33,1,0,1,7-66,3.1,37,116,8.2,32-45,371,487,0-0,11-17,27,4,1,55,2,2,3,4,0,37,0,2,5,29,0,1
53,401532571,Idaho State,28,away,1,2,91,0,3,8,0,0,1,2,2,25:32,3,0,3,6-50,1.3,17,22,5.1,31-63,322,344,0-3,7-15,24,San Diego State,36,home,4,17,0,2,0,80,0,5,10,0,0,3,0,3,34:28,1,2,3,14-125,6.5,47,304,4.3,13-20,85,389,0-0,5-13,18,5,0,44,1,3,2,5,0,33,3,14,10,,,
54,401532572,Bryant,14,away,2,0,95,0,6,2,0,0,1,1,0,39:04,1,0,1,6-59,4.5,40,179,7.4,19-31,230,409,1-4,4-13,19,UNLV,44,home,5,-7,0,1,0,158,0,3,14,8,0,1,0,1,20:56,1,1,2,6-45,6.7,40,268,5.3,15-24,126,394,0-0,9-15,20,,,,,,,,,,,,,,,
55,401532573,Oregon State,42,away,3,3,16,0,2,6,,,,1,0,31:55,0,0,0,9-76,5.6,35,197,9.9,22-28,276,473,0-1,5-8,27,San José State,17,home,1,7,0,1,1,16,0,2,5,,,,0,3,28:05,0,1,1,5-40,2.5,22,56,5.5,25-42,232,288,2-3,4-13,20,5,0,32,3,1,6,3,0,41,1,1,2,8,0,1
56,401523986,USC,56,home,3,4,96,1,1,8,,,,0,,28:58,0,0,0,8-57,4.7,34,160,9.7,24-35,341,501,1-2,9-13,25,San José State,28,away,1,,,,3,53,0,3,4,,,,0,1,31:02,0,0,0,3-21,7.3,27,198,5.1,21-39,198,396,0-1,5-13,23,7,1,41,1,1,4,4,0,46,2,1,2,66,0,3
57,401523996,USC,66,home,2,6,42,0,3,12,,,,1,2,24:01,0,1,1,8-75,10.8,20,215,13.3,25-34,453,668,1-1,2-6,27,Nevada,14,away,1,,,,1,68,0,4,2,,,,1,2,35:59,0,1,1,4-49,1.3,38,49,9.1,22-34,311,360,2-4,5-19,12,10,0,44,5,1,3,3,0,31,1,0,2,12,0,1
58,401523988,Stanford,37,away,2,2,,,,13,,,,0,,33:55,0,0,0,9-81,4.6,34,158,6.9,25-36,248,406,0-0,6-14,24,Hawai'i,24,home,0,14,0,1,3,67,0,3,4,,,,0,,26:05,0,0,0,11-114,-0.3,16,-5,6.7,30-53,355,350,1-3,8-16,20,8,0,37,6,1,3,4,0,45,0,0,6,14,0,1
59,401520156,Indiana,3,home,0,0,38,0,3,3,11,0,1,0,,28:05,0,0,0,8-75,2.2,33,71,4.1,9-20,82,153,0-2,4-15,8,Ohio State,23,away,2,14,0,2,0,23,0,1,11,,,,0,,31:55,1,0,1,5-41,4.6,31,143,6.6,21-36,237,380,2-3,2-12,22,5,0,41,0,0,8,6,0,34,1,0,4,51,0,2
60,401520161,Towson,6,away,0,0,11,0,1,6,,,,0,,26:52,0,0,0,10-90,4.4,34,148,4.1,16-31,128,276,1-3,5-15,16,Maryland,38,home,2,,,,3,47,0,2,8,,,,0,,33:08,0,0,0,6-54,4.6,36,166,6.6,26-43,283,449,2-2,7-14,30,3,0,45,1,2,3,3,0,41,2,1,2,12,0,2
61,401520171,Northwestern,7,away,0,1,,,,1,,,,1,2,22:04,2,0,2,3-30,0.5,22,12,4.6,24-41,189,201,1-3,5-15,13,Rutgers,24,home,2,-1,0,1,1,,,,6,0,0,2,0,1,37:56,0,1,1,2-19,2.8,44,122,5.6,17-29,163,285,3-3,8-18,20,2,0,21,0,1,2,8,0,27,5,2,5,,,
62,401520162,East Carolina,3,away,0,0,14,0,1,3,,,,0,,26:34,1,0,1,10-88,4.0,26,103,4.6,17-29,132,235,0-1,5-13,12,Michigan,30,home,1,14,0,4,3,,,,6,7,0,1,0,1,33:26,0,0,0,5-35,3.9,31,122,9.0,26-31,280,402,0-1,6-10,26,5,0,35,0,1,3,4,0,24,0,3,2,,,
63,401520148,Nebraska,10,away,0,1,78,0,2,4,0,0,1,0,1,29:18,3,1,4,7-55,4.9,37,181,6.0,11-19,114,295,0-0,5-11,18,Minnesota,13,home,0,10,0,1,1,49,0,3,7,14,0,3,1,0,30:42,1,0,1,3-25,2.2,25,55,4.5,24-44,196,251,2-2,8-17,20,5,0,36,3,3,4,5,0,38,3,5,3,8,0,2
64,401525450,New Mexico State,30,home,1,3,38,0,2,6,,,,0,1,31:45,2,1,3,3-40,5.8,38,222,9.2,16-27,248,470,1-1,2-9,22,UMass,41,away,4,,,,0,6,0,1,11,55,1,2,1,0,28:15,0,0,0,8-69,5.3,37,197,11.3,10-17,192,389,1-1,4-12,17,4,0,33,0,2,4,4,1,42,3,0,2,7,0,1
65,401540155,Grambling,31,away,2,2,68,0,6,3,21,0,2,0,,27:15,0,0,0,9-85,3.4,29,100,8.2,25-38,311,411,0-0,7-13,19,Hampton,35,home,3,19,0,1,2,54,0,5,5,,,,0,1,32:45,2,0,2,10-86,5.9,47,279,7.4,14-21,155,434,1-1,6-13,26,,,,,,,,,,,,,2,0,1
66,401531418,Florida Atlantic,42,home,1,5,37,0,3,6,0,0,1,0,1,25:39,1,1,2,3-33,6.7,32,213,10.4,22-27,280,493,0-2,3-9,22,Monmouth,20,away,1,,,,2,31,0,2,2,0,0,1,1,0,34:21,1,0,1,8-62,3.1,36,112,5.3,26-47,249,361,3-6,7-20,19,6,0,46,1,1,4,3,0,38,0,1,1,26,0,1
67,401540508,New Hampshire,51,away,1,5,82,0,3,9,4,0,1,1,0,34:11,0,0,0,15-121,4.4,35,153,10.1,19-28,284,437,1-1,6-13,21,Stonehill,17,home,2,2,0,1,0,61,0,5,5,,,,0,1,25:49,1,1,2,3-20,3.5,36,125,6.1,15-29,178,303,1-2,3-14,17,,,,,,,,,,,,,119,1,2
68,401540299,Indiana State,0,home,0,0,108,0,5,,35,0,1,0,3,30:11,4,2,6,3-22,2.9,35,103,4.5,13-26,116,219,1-4,4-14,16,Eastern Illinois,27,away,0,,,,2,37,0,2,1,103,2,4,2,2,29:49,1,0,1,4-55,3.4,28,94,7.9,19-31,244,338,0-3,5-12,17,,,,,,,,,,,,,,,
69,401531835,Appalachian State,45,home,1,5,57,0,2,9,37,0,2,1,1,31:42,0,0,0,2-20,3.4,43,147,10.3,18-24,247,394,3-3,4-13,22,Gardner-Webb,24,away,2,27,0,2,1,21,0,1,6,,,,0,1,28:18,2,1,3,5-50,5.0,27,134,5.0,30-46,231,365,2-3,7-17,19,2,0,28,0,9,5,6,0,28,2,3,3,,,
70,401540534,Furman,45,home,4,0,56,0,3,9,110,2,4,2,2,28:46,1,1,2,8-53,5.0,39,196,6.6,16-29,190,386,1-2,9-16,18,Tennessee Tech,10,away,0,6,0,4,1,29,0,1,4,9,0,1,1,3,31:14,4,2,6,6-35,2.8,31,86,5.0,26-42,212,298,1-3,7-17,18,,,,,,,,,,,,,31,0,2
