,id,team1,team1_pts,team1_home_away,team1_rushingTDs,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team1_passingTDs,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_kickingPoints,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team1_fumblesRecovered,team1_totalFumbles,team1_tacklesForLoss,team1_defensiveTDs,team1_tackles,team1_sacks,team1_qbHurries,team1_passesDeflected,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_rushingTDs,team2_passingTDs,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns,team2_kickingPoints,team2_fumblesRecovered,team2_totalFumbles,team2_tacklesForLoss,team2_defensiveTDs,team2_tackles,team2_sacks,team2_qbHurries,team2_passesDeflected,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns
0,401022516,Fresno State,79,home,7,3,0,2,1,12,0,1,13,57,1,5,2,1,4,1,29,1,3,4,24,8-13,1-1,486,247,21-29,8.5,239,44,5.4,3-27,0,0,0,32:53,Idaho,13,away,1,1,114,0,6,1,0,2,1,0,36,1,0,1,15,3-13,3-3,307,205,14-33,6.2,102,32,3.2,4-20,7,2,5,27:07,,,,,,
1,401012888,Michigan,17,away,1,4,0,2,0,120,1,2,5,19,0,1,0,1,7,1,39,2,3,3,20,6-13,0-3,307,249,24-36,6.9,58,33,1.8,7-52,2,1,1,31:33,Notre Dame,24,home,2,1,20,0,1,6,1,0,7,0,45,3,6,3,21,7-15,1-1,302,170,12-22,7.7,132,47,2.8,4-40,1,0,1,28:27,0,0,1,,,
2,401012250,Austin Peay,0,away,0,,,,0,,,,0,,,,1,2,2,0,31,0,0,2,7,2-13,0-1,152,61,13-21,2.9,91,29,3.1,3-15,1,1,0,33:01,Georgia,45,home,3,3,24,0,1,9,1,1,3,0,23,0,0,1,21,4-9,0-0,508,224,21-27,8.3,284,33,8.6,3-40,1,1,0,26:59,,,,14,0,4
3,401012249,Charleston Southern,6,away,1,,,,0,83,0,4,0,,,,0,4,5,0,32,0,1,5,9,3-14,1-3,225,3,5-16,0.2,222,43,5.2,6-50,3,2,1,32:02,Florida,53,home,1,5,2,0,2,15,2,3,8,0,26,3,6,3,25,2-9,1-2,444,241,19-27,8.9,203,39,5.2,3-20,0,0,0,27:58,0,0,1,17,0,2
4,401012257,West Virginia,40,away,0,-1,0,1,5,52,0,2,10,,,,0,1,12,0,39,2,2,3,26,5-9,0-0,547,429,25-34,12.6,118,27,4.4,4-35,1,1,0,27:37,Tennessee,14,home,1,1,71,0,3,2,1,1,5,0,32,2,3,2,19,5-14,2-3,301,172,19-25,6.9,129,38,3.4,6-48,0,0,0,32:23,,,,6,0,1
5,401012256,Coastal Carolina,15,away,0,,,,1,,,,12,,,,0,1,1,0,55,1,0,4,20,2-9,0-0,238,112,13-18,6.2,126,39,3.2,4-36,1,1,0,29:58,South Carolina,49,home,2,5,107,0,5,7,1,2,8,0,40,3,1,0,32,5-9,2-3,557,294,25-35,8.4,263,38,6.9,9-99,0,0,0,30:02,,,,3,0,1
6,401012251,Central Michigan,20,away,1,1,0,2,0,97,0,5,8,36,0,2,2,1,2,1,47,0,3,4,11,6-18,0-1,255,137,17-27,5.1,118,39,3.0,12-106,0,0,0,31:52,Kentucky,35,home,4,1,102,0,5,5,0,5,6,0,40,2,4,1,27,7-13,0-1,427,128,15-27,4.7,299,43,7.0,3-40,4,2,2,25:41,,,,41,0,4
7,401012259,Middle Tennessee,7,away,0,,,,1,,,,1,,,,0,2,5,0,33,1,1,2,21,8-16,1-3,294,178,24-37,4.8,116,36,3.2,6-40,2,1,1,31:09,Vanderbilt,35,home,2,2,55,0,2,5,1,0,9,1,49,6,2,1,19,7-13,2-2,346,170,10-17,10.0,176,38,4.6,7-49,0,0,0,28:51,0,0,1,,,
8,401012246,Louisville,14,away,0,,,,2,110,0,5,2,,,,1,,2,0,28,1,2,1,19,4-14,0-1,268,252,20-39,6.5,16,26,0.6,11-93,2,0,2,28:51,Alabama,51,home,3,2,77,1,1,9,0,,9.5,0,25,3,3,2,21,10-15,0-0,519,297,17-26,11.4,222,42,5.3,10-111,1,1,0,31:09,70,1,2,80,0,4
9,401012253,Texas Tech,27,home,2,,,,1,149,0,6,9,,,,1,0,6,0,32,2,3,0,31,8-19,0-3,486,322,33-56,5.8,164,39,4.2,6-81,0,0,0,36:25,Ole Miss,47,away,2,2,126,1,3,17,0,1,8,1,51,0,9,6,22,4-13,1-1,546,336,22-32,10.5,210,28,7.5,7-50,1,1,0,23:35,,,,,,
10,401012254,Stephen F. Austin,6,away,0,,,,0,121,0,6,6,,,,0,1,1,0,29,0,6,3,16,3-18,1-3,254,177,15-37,4.8,77,41,1.9,9-56,1,0,1,31:16,Mississippi State,63,home,4,5,67,0,3,9,0,2,17,0,39,4,2,7,25,7-13,1-2,618,398,15-34,11.7,220,37,5.9,7-80,0,0,0,28:44,0,0,1,56,0,5
11,401012247,Eastern Illinois,20,away,0,3,0,1,3,99,0,5,2,,,,0,6,6,0,42,1,1,4,21,6-18,3-4,357,230,27-40,5.8,127,41,3.1,6-30,5,5,0,30:50,Arkansas,55,home,2,4,102,0,4,13,4,0,8,0,40,2,3,5,18,7-15,0-0,433,353,21-29,12.2,80,37,2.2,4-40,0,0,0,27:31,,,,,,
12,401012248,Washington,16,away,0,,,,1,,,,10,,,,0,1,3,0,44,2,0,2,25,5-14,0-1,402,296,18-32,9.3,106,32,3.3,10-95,2,1,1,28:42,Auburn,21,home,1,1,64,0,4,9,1,1,9,0,38,5,0,6,27,9-18,1-1,420,273,26-36,7.6,147,45,3.3,12-103,0,0,0,30:43,0,0,1,32,0,2
13,401013095,Miami,17,away,1,,,,1,50,0,2,5,,,,0,,8,0,24,2,5,5,18,6-16,1-3,342,259,15-35,7.4,83,34,2.4,11-85,2,0,2,28:11,LSU,33,home,2,0,38,0,2,15,0,,6,1,29,4,5,6,17,3-16,1-1,296,140,11-24,5.8,156,41,3.8,6-62,0,0,0,31:49,74,1,2,22,0,1
14,401014975,Marshall,35,away,3,50,0,2,2,33,0,2,5,,,,0,,2,0,36,1,4,5,24,6-14,0-0,443,272,24-37,7.4,171,38,4.5,7-62,0,0,0,31:48,Miami (OH),28,home,1,3,50,0,2,4,0,1,5,0,44,2,3,2,23,5-15,2-5,444,357,25-46,7.8,87,27,3.2,8-71,0,0,0,28:12,,,,15,0,2
15,401020675,Howard,32,away,1,37,0,6,3,24,0,3,8,,,,0,2,7,0,44,2,0,6,26,12-21,0-2,645,484,27-53,9.1,161,39,4.1,8-71,4,2,2,28:32,Ohio,38,home,2,2,145,1,4,8,2,1,6,1,45,1,8,12,22,4-15,1-1,423,277,19-33,8.4,146,40,3.7,5-50,0,0,0,31:28,-7,0,2,4,0,1
16,401012804,Illinois,31,home,4,26,0,1,0,26,0,3,7,0,0,2,0,3,12,0,46,1,1,5,22,7-15,0-0,469,190,13-24,7.9,279,49,5.7,3-25,1,1,0,27:57,Kent State,24,away,1,2,,,,6,1,0,6,0,42,3,0,4,24,5-17,4-6,453,270,28-41,6.6,183,43,4.3,5-38,2,0,2,32:03,,,,30,0,3
17,401020676,VMI,3,away,0,4,0,1,0,27,0,3,3,,,,0,2,6,0,41,2,1,2,12,6-21,0-1,208,151,25-42,3.6,57,30,1.9,1-1,3,1,2,26:02,Toledo,66,home,5,3,17,0,1,12,1,0,9,1,41,4,2,1,30,4-11,0-0,603,390,22-32,12.2,213,45,4.7,4-35,0,0,0,32:07,2,0,2,92,1,7
18,401020673,Syracuse,55,away,5,,,,2,141,0,7,13,22,0,2,0,1,4,0,38,1,0,3,26,7-17,2-3,560,226,11-28,8.1,334,62,5.4,5-45,1,1,0,33:53,Western Michigan,42,home,3,3,55,0,4,9,1,0,4,0,53,2,3,4,24,2-10,1-2,621,379,19-36,10.5,242,28,8.6,6-45,2,0,2,26:07,,,,,,
19,401020671,Central Connecticut,6,away,1,,,,0,37,0,2,0,,,,0,2,2,0,43,0,0,3,16,4-15,1-2,291,117,14-28,4.2,174,38,4.6,9-58,1,1,0,30:38,Ball State,42,home,3,3,,,,6,0,1,4,0,32,1,1,2,31,11-16,0-1,652,336,28-36,9.3,316,48,6.6,6-70,1,1,0,29:22,,,,22,0,1
20,401020672,Monmouth,17,away,2,12,0,2,0,31,0,2,5,,,,0,1,5,0,31,0,1,2,23,7-16,1-3,386,199,27-45,4.4,187,34,5.5,10-113,1,0,1,29:45,Eastern Michigan,51,home,2,5,,,,9,0,,6,0,34,3,5,6,26,7-11,0-0,462,302,22-27,11.2,160,38,4.2,7-65,0,0,0,30:15,12,0,1,27,0,2
21,401012862,Iowa,33,home,3,42,0,5,1,27,0,1,7,-3,0,1,1,1,8,0,30,5,3,3,18,8-16,1-2,352,143,13-25,5.7,209,48,4.4,8-66,1,0,1,34:22,Northern Illinois,7,away,0,1,23,0,1,1,0,2,2,0,50,1,1,0,15,3-12,0-1,211,110,15-26,4.2,101,36,2.8,7-65,2,1,1,25:38,0,0,1,10,0,1
22,401020674,Delaware State,10,away,1,4,0,1,0,53,0,2,4,,,,0,4,4,0,45,0,0,4,18,7-18,2-3,275,76,8-18,4.2,199,54,3.7,6-75,4,3,1,30:21,Buffalo,48,home,1,6,51,0,2,6,3,0,8,0,47,1,1,5,21,2-13,5-5,354,200,19-29,6.9,154,37,4.2,5-42,0,0,0,29:39,5,0,1,29,0,3
23,401013096,Virginia Tech,24,away,0,32,1,3,2,,,,6,0,0,3,2,4,14,1,43,5,1,3,15,3-14,0-1,319,207,16-26,8.0,112,40,2.8,5-55,0,0,0,33:52,Florida State,3,home,0,0,25,0,1,3,0,2,7,0,35,3,2,2,12,5-16,0-1,327,233,22-35,6.7,94,28,3.4,7-36,5,2,3,26:08,,,,,,
24,401013087,UMass,21,away,2,,,,1,152,0,6,3,,,,0,1,5,0,44,1,0,1,18,3-12,1-2,315,249,21-34,7.3,66,33,2.0,2-8,3,1,2,28:30,Boston College,55,home,3,4,82,0,4,7,1,0,9,1,33,6,2,5,32,6-11,0-2,622,320,20-27,11.9,302,60,5.0,7-38,0,0,0,31:30,60,1,2,11,0,1
25,401013088,Furman,7,away,0,,,,1,,,,1,,,,0,5,3,0,31,1,0,1,13,5-16,0-1,163,46,4-9,5.1,117,53,2.2,3-22,2,2,0,34:30,Clemson,48,home,2,4,43,0,1,12,2,1,10,0,42,3,3,0,23,5-12,1-3,531,282,23-35,8.1,249,35,7.1,4-50,0,0,0,25:30,,,,87,0,2
26,401013091,James Madison,13,away,0,,,,1,37,0,3,7,,,,1,1,6,0,36,1,3,2,23,7-13,0-0,365,202,24-30,6.7,163,38,4.3,5-25,1,1,0,31:42,NC State,24,home,1,2,52,0,3,6,1,2,6,0,35,2,1,2,25,11-16,1-1,392,309,29-43,7.2,83,29,2.9,5-50,1,1,0,28:18,,,,40,0,1
27,401013086,Tulane,17,home,0,8,0,1,2,35,0,2,5,0,0,2,1,1,4,0,48,1,4,8,20,7-19,1-2,436,283,19-38,7.4,153,41,3.7,9-83,1,1,0,34:55,Wake Forest,23,away,1,2,22,0,1,5,1,1,6,0,36,3,1,8,32,10-19,0-0,548,378,31-51,7.4,170,43,4.0,6-70,3,1,2,25:05,,,,25,0,2
28,401013090,Alcorn State,0,away,0,,,,0,32,0,2,,3,0,1,2,3,4,0,41,0,1,1,10,2-11,0-0,146,69,15-23,3.0,77,28,2.8,3-20,2,1,1,28:10,Georgia Tech,41,home,4,1,10,0,1,5,2,2,4,1,30,1,0,1,25,8-12,0-1,543,104,9-18,5.8,439,54,8.1,3-30,3,2,1,31:50,25,0,1,31,0,3
29,401012684,California,24,home,1,7,0,3,1,21,0,1,6,48,1,4,0,,2,1,51,0,2,7,19,4-17,2-3,279,119,16-32,3.7,160,49,3.3,5-35,0,0,0,35:57,North Carolina,17,away,1,1,48,0,3,5,0,,10,0,55,5,2,6,16,4-17,3-3,308,144,15-35,4.1,164,38,4.3,13-143,4,0,4,24:03,,,,28,0,3
30,401013094,Richmond,13,away,0,,,,0,24,0,1,7,72,1,1,0,1,7,1,36,3,0,2,9,2-10,0-0,225,191,12-29,6.6,34,19,1.8,5-69,2,0,2,21:58,Virginia,42,home,4,2,31,0,2,6,0,1,7,0,20,2,0,5,25,9-15,1-1,492,191,14-26,7.3,301,48,6.3,4-24,1,0,1,38:02,3,0,2,-1,0,3
31,401013089,Army,14,away,1,,,,1,14,0,1,2,,,,1,5,5,0,36,1,0,0,18,5-14,4-4,365,197,10-21,9.4,168,47,3.6,7-69,2,2,0,36:06,Duke,34,home,3,1,67,0,3,10,2,1,2,0,34,1,2,2,19,2-9,1-1,381,197,13-17,11.6,184,35,5.3,4-30,1,1,0,23:54,,,,23,0,2
32,401012681,Oregon,58,home,2,2,0,3,5,79,0,6,8,38,1,2,1,1,8,1,56,3,4,6,21,6-13,1-2,504,292,11-26,11.2,212,42,5.0,3-35,3,1,2,21:57,Bowling Green,24,away,0,3,88,0,5,6,1,1,3,0,41,1,2,5,21,5-19,1-4,389,253,22-39,6.5,136,50,2.7,5-50,3,1,2,38:03,0,0,2,4,0,2
33,401013489,Missouri State,17,away,0,3,0,2,2,,,,5,0,0,1,1,3,7,0,59,2,0,2,13,5-16,0-0,260,150,11-28,5.4,110,37,3.0,7-69,2,2,0,30:24,Oklahoma State,58,home,3,5,42,0,1,10,2,2,11,0,39,5,8,6,33,11-18,2-3,732,296,25-37,8.0,436,55,7.9,7-55,2,1,1,29:36,,,,-1,0,4
34,401013057,South Dakota,24,away,1,,,,1,126,0,7,6,25,1,2,2,0,8,1,50,4,0,5,21,4-16,0-2,334,257,24-56,4.6,77,21,3.7,5-35,0,0,0,22:21,Kansas State,27,home,0,1,87,0,5,13,0,3,3,1,38,1,7,11,19,9-20,1-1,408,152,13-28,5.4,256,47,5.4,13-129,4,2,2,37:39,,,,107,1,5
35,401013026,Abilene Christian,27,away,1,,,,2,46,0,2,9,0,0,1,0,,3,0,37,0,2,2,19,6-15,0-1,466,246,27-40,6.2,220,27,8.1,5-37,1,0,1,30:01,Baylor,55,home,5,2,60,0,3,13,0,,7,0,40,2,2,3,26,2-9,0-0,606,311,18-28,11.1,295,36,8.2,5-53,1,0,1,29:59,28,0,1,38,0,4
36,401013065,Florida Atlantic,14,away,2,-1,0,1,0,15,0,1,3,,,,0,,6,0,33,2,2,0,20,4-15,1-3,324,192,18-32,6.0,132,42,3.1,6-48,1,0,1,30:45,Oklahoma,63,home,5,3,21,0,1,9,0,,9,1,44,2,0,2,26,6-10,0-0,650,334,19-23,14.5,316,39,8.1,6-70,0,0,0,29:15,32,0,1,46,1,4
37,401012872,Maryland,34,home,2,9,0,1,2,64,0,2,10,5,0,2,1,1,7,0,43,2,0,2,21,6-18,1-2,407,264,21-34,7.8,143,46,3.1,8-70,0,0,0,32:46,Texas,29,away,2,2,124,0,6,3,0,2,8,0,44,1,0,3,20,3-15,1-1,405,263,21-39,6.7,142,36,3.9,10-102,3,1,2,27:14,,,,56,0,3
38,401013048,Nicholls,26,away,3,19,0,2,0,15,0,1,8,,,,1,2,9,0,46,6,2,3,17,10-20,0-1,329,142,12-24,5.9,187,50,3.7,6-35,1,1,0,31:28,Kansas,23,home,0,2,20,0,1,7,1,4,6,0,51,1,1,5,14,6-17,0-0,255,199,21-38,5.2,56,32,1.8,7-54,1,1,0,28:32,,,,26,0,2
39,401013072,Southern,7,away,0,3,0,1,1,,,,1,,,,0,2,2,0,45,0,1,4,9,3-14,0-1,185,101,5-18,5.6,84,34,2.5,5-40,3,1,2,25:32,TCU,55,home,2,4,78,0,2,13,1,2,9,1,27,3,2,4,30,5-11,0-1,499,264,21-32,8.3,235,42,5.6,5-48,0,0,0,33:20,21,0,2,113,1,6
40,401012255,UT Martin,14,away,1,4,0,2,1,52,0,3,2,,,,0,1,7,0,53,0,0,1,13,4-14,1-1,277,183,17-30,6.1,94,29,3.2,13-108,1,1,0,26:43,Missouri,51,home,2,4,,,,15,1,0,5,0,38,3,2,4,26,8-15,0-0,558,394,23-34,11.6,164,44,3.7,4-45,0,0,0,33:17,,,,-10,0,3
41,401012258,Northwestern State,7,away,0,0,0,1,1,66,0,3,1,,,,1,1,3,0,53,2,3,1,13,1-12,0-0,251,230,18-35,6.6,21,13,1.6,11-93,0,0,0,18:57,Texas A&M,59,home,5,3,13,0,1,11,0,2,5,0,21,0,3,7,40,8-11,0-0,758,255,23-35,7.3,503,61,8.2,8-95,1,1,0,41:03,,,,9,0,3
42,401013092,Albany,7,away,0,,,,1,21,0,1,1,0,0,1,1,0,1,0,36,0,0,0,16,5-13,0-1,323,263,18-29,9.1,60,28,2.1,7-40,2,0,2,30:26,Pittsburgh,33,home,2,2,98,1,2,3,0,1,6,1,38,5,0,0,21,6-9,0-0,407,169,17-23,7.3,238,37,6.4,6-55,2,1,1,27:25,79,0,2,2,0,2
43,401012880,Michigan State,38,home,2,,,,2,89,0,4,12,21,0,2,0,1,4,0,31,2,4,4,23,11-17,0-0,452,287,23-33,8.7,165,42,3.9,9-62,2,1,1,37:44,Utah State,31,away,3,0,48,0,2,7,1,1,3,1,32,3,3,2,22,7-13,0-1,344,319,29-44,7.3,25,25,1.0,7-49,2,0,2,22:16,40,1,1,13,0,1
44,401021656,Troy,20,home,2,4,0,1,1,161,0,7,2,,,,1,4,5,0,32,1,3,3,21,4-15,3-5,379,255,24-34,7.5,124,44,2.8,3-25,4,3,1,34:31,Boise State,56,away,2,4,23,0,1,8,3,3,8,2,49,5,1,3,16,9-15,0-0,416,305,20-28,10.9,111,29,3.8,4-27,1,1,0,22:53,0,0,1,6,0,4
45,401022510,Hawai'i,43,away,2,5,0,2,3,43,0,2,13,0,0,1,0,1,2,0,35,0,4,4,30,4-12,2-2,617,418,26-37,11.3,199,36,5.5,10-65,1,1,0,34:43,Colorado State,34,home,0,5,119,0,6,4,0,1,5,0,29,1,6,5,29,10-16,1-1,653,537,34-51,10.5,116,25,4.6,12-120,1,0,1,25:17,,,,,,
46,401012680,Colorado,45,away,2,85,0,6,4,31,0,1,9,2,0,1,0,3,9,0,29,3,7,6,23,4-9,0-1,596,338,22-25,13.5,258,40,6.4,6-44,2,1,1,26:33,Colorado State,13,home,0,1,25,0,1,7,1,0,3,0,35,0,1,0,20,7-19,1-1,284,181,19-37,4.9,103,39,2.6,5-35,1,0,1,33:27,0,0,1,0,0,1
47,401012683,Washington State,41,away,2,7,0,4,3,,,,11,0,0,1,0,1,9,0,41,3,0,3,24,3-14,3-4,394,319,38-57,5.6,75,21,3.6,10-75,2,1,1,31:38,Wyoming,19,home,2,0,,,,5,1,1,6,0,39,0,0,4,15,3-13,0-0,206,67,8-20,3.3,139,39,3.6,13-109,1,0,1,28:22,0,0,1,7,0,2
48,401013437,New Mexico State,7,home,0,24,0,2,1,1,0,1,1,,,,0,,5,0,22,0,4,1,7,3-12,0-0,135,144,18-33,4.4,-9,16,-0.6,12-57,0,0,0,17:33,Wyoming,29,away,3,0,12,0,1,9,0,,6.5,0,23,3,1,6,22,8-18,0-0,449,137,13-22,6.2,312,57,5.5,4-60,0,0,0,40:41,,,,26,0,5
49,401022515,Incarnate Word,30,away,3,11,0,2,1,93,0,5,6,6,0,1,1,3,9,0,59,0,0,2,19,5-15,0-2,566,322,19-39,8.3,244,34,7.2,8-69,2,1,1,24:10,New Mexico,62,home,4,5,49,0,3,8,1,1,5,0,49,3,1,1,32,5-11,2-3,680,361,15-25,14.4,319,66,4.8,7-48,2,1,1,35:50,0,0,1,9,0,1
50,401022514,Stony Brook,0,away,0,37,0,1,0,60,0,3,0,,,,2,2,5,0,46,0,0,3,4,3-14,0-2,75,45,7-20,2.3,30,30,1.0,8-63,2,1,1,19:33,Air Force,38,home,4,0,,,,7,1,2,4,1,27,2,1,5,23,8-20,5-6,362,29,2-8,3.6,333,77,4.3,3-30,2,2,0,40:27,32,1,1,0,0,1
51,401022512,Stanford,31,home,0,28,0,3,4,20,0,1,3,,,,1,0,7,0,26,5,3,3,19,7-15,0-0,382,332,21-31,10.7,50,28,1.8,3-20,1,0,1,31:10,San Diego State,10,away,1,0,27,0,1,4,0,2,4,0,28,1,2,4,11,4-13,0-1,263,113,10-15,7.5,150,37,4.1,11-125,1,1,0,28:50,7,0,1,3,0,1
52,401012678,USC,43,home,3,63,0,3,1,114,0,3,19,,,,1,0,8,0,39,5,0,7,23,7-16,0-0,501,282,22-35,8.1,219,38,5.8,6-58,0,0,0,31:06,UNLV,21,away,1,2,68,0,3,3,0,2,6,0,44,2,0,6,17,5-15,1-2,405,97,12-27,3.6,308,43,7.2,4-35,1,1,0,28:54,,,,,,
53,401022511,UC Davis,44,away,3,12,0,2,3,58,0,3,6,0,0,2,1,,5,0,50,3,5,6,31,6-18,0-1,589,446,37-57,7.8,143,34,4.2,11-79,1,0,1,31:09,San José State,38,home,2,3,63,0,4,8,0,1,8,0,46,2,2,6,27,8-21,2-3,506,365,28-52,7.0,141,38,3.7,12-125,3,1,2,28:47,38,0,1,9,0,2
54,401022517,Portland State,19,away,0,1,0,1,2,74,0,4,5,0,0,1,0,1,5,0,37,1,0,3,17,3-19,2-4,348,241,14-34,7.1,107,43,2.5,8-55,1,0,1,35:28,Nevada,72,home,4,4,23,0,1,12,0,1,8,2,40,4,0,5,25,4-9,0-1,636,420,18-28,15.0,216,35,6.2,9-106,1,0,1,24:32,42,1,1,108,1,4
55,401019475,Navy,41,away,5,8,0,1,1,,,,5,,,,1,0,3,0,44,3,0,1,19,5-12,2-3,411,85,6-13,6.5,326,49,6.7,2-18,0,0,0,29:23,Hawai'i,59,home,1,6,66,0,3,11,0,1,5,1,36,3,1,0,25,7-12,3-3,522,436,31-42,10.4,86,28,3.1,1-5,1,1,0,30:37,,,,33,1,2
56,401012682,Oregon State,31,away,2,,,,2,49,0,3,7,33,0,1,1,5,1,0,49,0,1,0,15,6-17,1-1,392,196,14-24,8.2,196,39,5.0,5-49,2,2,0,28:45,Ohio State,77,home,5,5,21,0,1,11,2,1,6,0,38,5,3,4,34,12-14,1-1,721,346,25-34,10.2,375,53,7.1,6-50,2,1,1,31:15,,,,31,0,3
57,401012820,Texas State,7,away,0,-1,0,1,0,19,0,2,1,51,1,3,1,2,5,1,49,1,2,3,11,1-13,0-0,169,100,9-24,4.2,69,31,2.2,15-119,3,2,1,24:28,Rutgers,35,home,3,1,33,0,2,5,2,1,11,0,27,3,4,5,23,8-13,0-1,423,205,20-29,7.1,218,46,4.7,7-50,4,1,3,35:32,-8,0,1,-3,0,2
58,401013349,Appalachian State,38,away,2,11,0,1,2,130,1,3,8,,,,0,1,2,1,37,1,5,3,22,6-16,2-2,451,292,26-39,7.5,159,37,4.3,9-100,1,0,1,32:28,Penn State,45,home,5,1,52,0,1,9,0,,6,0,36,2,3,3,24,6-15,1-2,434,230,21-36,6.4,204,43,4.7,2-10,0,0,0,27:32,0,0,1,29,0,1
59,401012851,Florida International,28,home,3,,,,1,53,0,3,4,14,0,1,0,3,3,0,50,1,1,2,22,5-12,2-2,327,157,17-28,5.6,170,39,4.4,7-70,3,2,1,27:25,Indiana,38,away,0,4,11,0,1,8,2,0,5,1,40,1,1,3,31,7-15,3-3,465,252,28-37,6.8,213,45,4.7,8-90,1,0,1,32:35,33,1,1,6,0,1
60,401013354,Western Kentucky,3,away,0,-2,0,1,0,,,,3,,,,1,1,5,0,30,3,3,4,15,5-16,1-2,305,181,17-30,6.0,124,34,3.6,6-65,2,1,1,25:57,Wisconsin,34,home,2,2,45,0,2,10,1,1,4,0,38,1,2,3,24,7-13,0-0,491,257,17-31,8.3,234,39,6.0,8-70,1,1,0,34:03,0,0,1,,,
61,401013328,New Mexico State,10,away,0,13,0,3,1,68,0,4,4,,,,1,,2,0,38,0,0,5,19,2-17,1-2,271,233,29-58,4.0,38,20,1.9,5-50,1,0,1,25:26,Minnesota,48,home,3,2,15,0,1,12,0,2,8,1,45,4,0,9,23,5-14,1-1,522,227,17-34,6.7,295,47,6.3,9-92,1,1,0,33:20,0,0,1,123,1,3
62,401013342,Purdue,27,home,2,,,,1,125,0,5,9,,,,0,1,3,0,47,0,0,4,23,8-15,0-0,472,270,30-46,5.9,202,25,8.1,9-95,3,0,3,26:49,Northwestern,31,away,4,0,33,0,2,7,0,2,5,0,36,5,0,6,22,6-18,1-2,401,235,23-37,6.4,166,42,4.0,6-56,0,0,0,33:11,43,0,3,2,0,1
63,401013357,Duquesne,15,away,1,-3,0,1,1,160,0,8,3,,,,1,3,5,0,26,1,0,3,13,7-18,1-1,253,123,16-30,4.1,130,36,3.6,3-22,4,1,3,33:20,UMass,63,home,4,4,53,0,4,9,1,1,6,1,36,0,0,5,24,7-13,0-1,572,290,19-28,10.4,282,39,7.2,4-30,1,1,0,26:40,60,1,3,2,0,2
64,401014980,Northern Arizona,30,away,2,4,0,1,2,,,,6,59,0,2,1,,8,0,38,5,3,7,14,6-15,0-0,318,211,19-26,8.1,107,36,3.0,7-70,1,0,1,25:19,UTEP,10,home,1,0,97,0,4,4,0,2,6,0,29,1,1,2,15,7-18,0-1,229,127,15-31,4.1,102,36,2.8,10-74,3,1,2,34:41,2,0,1,24,0,4
65,401014977,Houston,45,away,3,-2,0,1,3,36,0,1,7,0,0,1,0,2,10,0,38,3,3,9,23,5-11,0-1,577,320,18-25,12.8,257,36,7.1,5-38,2,2,0,20:03,Rice,27,home,0,3,144,0,6,9,2,0,2,0,28,0,0,2,22,11-22,0-1,439,292,24-41,7.1,147,43,3.4,6-57,1,0,1,39:57,,,,,,
66,401014972,Prairie View,28,away,1,,,,3,31,0,3,4,,,,0,,5,0,47,0,0,5,18,2-11,1-2,384,244,16-29,8.4,140,28,5.0,6-60,1,1,0,20:21,Rice,31,home,3,0,170,0,6,11,1,0,5,0,33,3,2,4,22,4-14,1-1,397,87,12-24,3.6,310,50,6.2,7-54,0,0,0,39:39,,,,-1,0,1
67,401019470,UCF,56,away,3,1,0,1,5,43,0,2,8,3,0,1,2,0,8,0,52,0,2,9,31,9-11,1-1,652,356,26-34,10.5,296,36,8.2,3-27,0,0,0,21:32,Connecticut,17,home,1,1,151,0,6,5,0,2,0,0,36,0,1,1,27,10-18,3-5,486,266,27-41,6.5,220,46,4.8,6-59,3,2,1,38:08,,,,,,
68,401021651,Georgia State,24,home,0,,,,3,50,0,2,6,12,0,1,2,1,3,0,51,1,0,2,21,6-12,0-1,315,187,20-28,6.7,128,38,3.4,3-33,1,1,0,27:23,Kennesaw State,20,away,1,1,21,0,1,8,0,2,9,0,38,3,0,3,19,5-15,4-6,382,201,12-19,10.6,181,51,3.5,7-65,2,1,1,32:37,,,,10,0,1
69,401012676,Arizona,23,home,2,,,,1,71,0,3,5,,,,0,,2,0,43,0,0,4,22,6-15,2-2,326,197,17-34,5.8,129,35,3.7,4-26,0,0,0,23:27,BYU,28,away,3,1,,,,4,0,,2,0,43,1,0,4,23,5-12,1-2,392,209,18-28,7.5,183,43,4.3,10-94,0,0,0,36:33,,,,45,0,3
